eta2,epsilon2,omega2,N
0.056013804,-0.000592889,-0.005129333,10
0.057735826,0.001272635,-0.003269511,10
0.050645519,-0.00640853,-0.010891862,10
0.057760992,0.001299898,-0.00325689,10
0.053133303,-0.003713431,-0.008206447,10
0.052131993,-0.004798184,-0.009276603,10
0.054219496,-0.002536722,-0.007051482,10
0.052178985,-0.004747276,-0.00922546,10
0.057631478,0.001159591,-0.003392797,10
0.057992848,0.001551075,-0.003020964,10
0.059182949,0.002840352,-0.001731025,10
0.050278083,-0.006806587,-0.011269322,10
0.057321227,0.000823486,-0.003728129,10
0.057951059,0.001505804,-0.00305461,10
0.049079285,-0.008105284,-0.012566149,10
0.052894761,-0.003971853,-0.008478453,10
0.052166022,-0.00476132,-0.009243673,10
0.053774555,-0.003018742,-0.007546237,10
0.05163218,-0.005339648,-0.009820613,10
0.053163138,-0.003681111,-0.00819051,10
0.052427766,-0.004477763,-0.00895602,10
0.058130726,0.001700443,-0.00284642,10
0.054755803,-0.001955723,-0.006491453,10
0.04800896,-0.009264803,-0.013720526,10
0.056769156,0.000225409,-0.004305582,10
0.050436676,-0.006634778,-0.011131171,10
0.050232341,-0.00685614,-0.01128292,10
0.055519721,-0.001128145,-0.005632314,10
0.052099365,-0.004833531,-0.009301437,10
0.056155906,-0.000438945,-0.004970833,10
0.055960813,-0.000650296,-0.005174269,10
0.056737439,0.00019105,-0.004360825,10
0.054017235,-0.002755839,-0.007276171,10
0.058244803,0.001824027,-0.002729756,10
0.052902336,-0.003963646,-0.008491357,10
0.058338961,0.001926031,-0.002671582,10
0.049169444,-0.008007612,-0.012471403,10
0.052081456,-0.004852932,-0.009312595,10
0.051693167,-0.005273579,-0.009729969,10
0.050273657,-0.006811382,-0.011286654,10
0.054970538,-0.001723094,-0.006245656,10
0.053981579,-0.002794466,-0.00729316,10
0.056260308,-0.000325843,-0.004874663,10
0.051006672,-0.006017282,-0.010483056,10
0.05462017,-0.002102659,-0.006617187,10
0.051819311,-0.005136923,-0.009640365,10
0.054900178,-0.001799317,-0.00630451,10
0.052289385,-0.004627676,-0.009120011,10
0.056282167,-0.000302162,-0.00482962,10
0.053025958,-0.003829722,-0.008310939,10
0.053002825,-0.003854783,-0.008364345,10
0.05352616,-0.003287836,-0.007766667,10
0.057747263,0.001285025,-0.003252888,10
0.041327148,-0.016503433,-0.020828932,10
0.056844816,0.000307374,-0.004231783,10
0.057391215,0.000899306,-0.003670473,10
0.050205262,-0.006885476,-0.011345179,10
0.05490931,-0.001789425,-0.006304093,10
0.051284718,-0.005716065,-0.010193728,10
0.050434138,-0.006637527,-0.01111987,10
0.05510264,-0.001579984,-0.006107791,10
0.050456586,-0.006613208,-0.011073045,10
0.053641807,-0.003162552,-0.007677298,10
0.052801768,-0.004072595,-0.008568288,10
0.050802563,-0.006238399,-0.010696536,10
0.054975696,-0.001717506,-0.006261454,10
0.051702231,-0.00526376,-0.009759489,10
0.059207014,0.002866422,-0.00169362,10
0.058653242,0.002266502,-0.00229472,10
0.054423979,-0.002315199,-0.006826554,10
0.060116573,0.003851778,-0.000743285,10
0.053503365,-0.003312531,-0.007809152,10
0.05279307,-0.004082018,-0.008577672,10
0.054576803,-0.00214964,-0.006666274,10
0.054403456,-0.002337433,-0.006860766,10
0.057354357,0.000859377,-0.003696237,10
0.051050457,-0.005969848,-0.010425643,10
0.051184942,-0.005824156,-0.010290863,10
0.052784879,-0.004090891,-0.008590804,10
0.054798997,-0.001908929,-0.006429842,10
0.053313779,-0.003517916,-0.008016693,10
0.04994579,-0.007166571,-0.011607529,10
0.0572749,0.000773299,-0.003768265,10
0.05040127,-0.006673133,-0.011123615,10
0.051774046,-0.00518596,-0.009682116,10
0.053907967,-0.002874212,-0.007382918,10
0.054857818,-0.001845207,-0.006368955,10
0.053423144,-0.003399437,-0.007904151,10
0.057372838,0.000879398,-0.0036545,10
0.047308645,-0.010023478,-0.014438897,10
0.051078711,-0.005939239,-0.01041771,10
0.058827215,0.002454973,-0.002104831,10
0.056199371,-0.000391858,-0.004904954,10
0.05298873,-0.003870053,-0.008353188,10
0.051715651,-0.005249221,-0.009724206,10
0.06058129,0.004355221,-0.000233244,10
0.053191518,-0.003650366,-0.00812989,10
0.054647989,-0.002072522,-0.006577133,10
0.058883087,0.002515501,-0.002054166,10
0.047007783,-0.010349411,-0.014775917,10
0.028966684,0.001085338,-0.001282986,20
0.028538352,0.000640098,-0.00172204,20
0.027337228,-0.000608439,-0.002963474,20
0.025991833,-0.002006942,-0.00435407,20
0.024876389,-0.003166416,-0.005505346,20
0.027567281,-0.000369305,-0.002724724,20
0.026392839,-0.001590107,-0.003930423,20
0.0263052,-0.001681204,-0.004032943,20
0.026269503,-0.001718311,-0.00406134,20
0.025180184,-0.002850629,-0.005191708,20
0.028042853,0.00012504,-0.002242172,20
0.028188574,0.000276513,-0.002088951,20
0.026934566,-0.001026995,-0.003382009,20
0.026760343,-0.001208096,-0.003558424,20
0.029482731,0.001621755,-0.000743383,20
0.026670178,-0.00130182,-0.003657949,20
0.028114566,0.000199583,-0.002161726,20
0.023416185,-0.004684259,-0.00700728,20
0.024807255,-0.003238279,-0.005574879,20
0.021786793,-0.00637797,-0.008704488,20
0.024215987,-0.003852886,-0.006186385,20
0.02386318,-0.004219621,-0.006557596,20
0.026785444,-0.001182004,-0.003528792,20
0.031299616,0.00351036,0.001127743,20
0.028394523,0.000490591,-0.001865725,20
0.025340052,-0.002684451,-0.005026924,20
0.028015052,9.61E-05,-0.00226574,20
0.028889736,0.001005352,-0.001358515,20
0.022758767,-0.005367629,-0.007695524,20
0.028948627,0.001066569,-0.001300461,20
0.032488113,0.004745771,0.00236839,20
0.028669501,0.000776424,-0.001590003,20
0.027818106,-0.000108579,-0.002460515,20
0.027085071,-0.000870549,-0.003223583,20
0.027481883,-0.000458074,-0.002815324,20
0.028508279,0.000608838,-0.001753325,20
0.027113123,-0.00084139,-0.003191353,20
0.026076058,-0.001919392,-0.004262889,20
0.022188361,-0.00596055,-0.00828336,20
0.031827645,0.004059232,0.001675467,20
0.028067901,0.000151076,-0.002208019,20
0.026228389,-0.001761048,-0.00410865,20
0.025477411,-0.00254167,-0.004883763,20
0.027430032,-0.000511972,-0.002866927,20
0.028545232,0.00064725,-0.00171256,20
0.026827255,-0.001138542,-0.003489885,20
0.025413266,-0.002608346,-0.004951408,20
0.02599593,-0.002002683,-0.004349259,20
0.026869002,-0.001095147,-0.003444906,20
0.027259829,-0.000688892,-0.003045375,20
0.0322043,0.004450755,0.002072237,20
0.026977325,-0.000982549,-0.003334192,20
0.027430523,-0.000511461,-0.002866242,20
0.022773471,-0.005352344,-0.007679727,20
0.027424868,-0.000517339,-0.002868733,20
0.024849993,-0.003193854,-0.005530627,20
0.026848095,-0.001116879,-0.003469006,20
0.026848804,-0.001116143,-0.003470773,20
0.023586942,-0.004506762,-0.006840307,20
0.027390631,-0.000552927,-0.002913262,20
0.031142575,0.00334712,0.000969612,20
