eta2r,eta2not,epsilon2r,epsilon2not,omega2r,omega2not,eta2p,N
0.074986068,0.07630852,-0.00106962,0.000363037,-0.001227125,0.000178598,0.012345679,10
0.036365749,0.036355323,-0.001185116,-0.001195953,-0.001303694,-0.001314085,0.012345679,20
0.021876071,0.022533071,-0.003100952,-0.002426961,-0.003172016,-0.002503317,0.012345679,30
0.017666478,0.018649832,-0.000987135,1.51E-05,-0.001054454,-5.81E-05,0.012345679,40
0.012957109,0.013816318,-0.001961726,-0.001089366,-0.002011483,-0.001143205,0.012345679,50
0.012483341,0.013721859,8.71E-05,0.001341362,3.72E-05,0.001286533,0.012345679,60
0.00978392,0.010918955,-0.000845106,0.000302266,-0.000884878,0.000258576,0.012345679,70
0.008602504,0.009604419,-0.000692292,0.000319135,-0.000727679,0.000280706,0.012345679,80
0.006072111,0.007061078,-0.002199649,-0.001202348,-0.002227118,-0.001232501,0.012345679,90
0.005311386,0.006283443,-0.002130606,-0.001151185,-0.002155542,-0.001178497,0.012345679,100
0.068613739,0.070793563,-0.006722147,-0.004360671,-0.007089362,-0.004779465,0.027355623,10
0.031063704,0.032635857,-0.006103954,-0.004469742,-0.006341702,-0.004726299,0.027355623,20
0.020552274,0.023073048,-0.004070797,-0.001484832,-0.004251247,-0.001685134,0.027355623,30
0.015314134,0.017168172,-0.003096063,-0.001206371,-0.003239264,-0.001360628,0.027355623,40
0.011184671,0.013293674,-0.003531549,-0.001390265,-0.003645034,-0.001513733,0.027355623,50
0.010651925,0.012704113,-0.001576792,0.000501483,-0.001679461,0.000390722,0.027355623,60
0.00736452,0.009890045,-0.003127653,-0.000574676,-0.003210807,-0.000666314,0.027355623,70
0.007210359,0.009511962,-0.001955154,0.0003683,-0.002031376,0.000285307,0.027355623,80
0.004644301,0.006485532,-0.003513003,-0.001656256,-0.003576874,-0.001724946,0.027355623,90
0.003493047,0.005699815,-0.003849008,-0.001625523,-0.003905791,-0.001687532,0.027355623,100
0.068125882,0.071559584,-0.005562041,-0.001842197,-0.006390704,-0.002748798,0.047619048,10
0.029873969,0.032672933,-0.00654078,-0.003631331,-0.006996668,-0.00411966,0.047619048,20
0.018398927,0.02180316,-0.005755781,-0.002263507,-0.006075445,-0.002608954,0.047619048,30
0.014410248,0.018405158,-0.00362765,0.000444085,-0.003883321,0.000165683,0.047619048,40
0.008629496,0.012454109,-0.005815679,-0.001932526,-0.00601153,-0.0021458,0.047619048,50
0.00555055,0.008864844,-0.00648543,-0.003129005,-0.006646947,-0.003303256,0.047619048,60
0.005097625,0.008769978,-0.005198933,-0.001486663,-0.005341947,-0.0016416,0.047619048,70
