N,eta2B,epsilon2B,omega2B,eta2R,epsilon2R,omega2R,eta2S,epsilon2S,omega2S
10,0.051745681,-0.005216689,-0.009710033,0.119973345,0.117376435,0.116275204,0.108240418,0.117260452,0.115869057
20,0.028713649,0.000822314,-0.001540371,0.083675861,0.081701587,0.081235021,0.078595014,0.081697448,0.081220415
30,0.018504797,-3.29E-05,-0.001620295,0.068425395,0.067579384,0.067331732,0.065875694,0.067579376,0.067312233
40,0.014710951,0.000853582,-0.000347354,0.057552994,0.056717572,0.056546465,0.055641127,0.056711149,0.056545398
50,0.009020433,-0.002096001,-0.00305273,0.05061876,0.050614333,0.050544417,0.04980854,0.050570916,0.050452145
60,0.006852129,-0.002407727,-0.003206109,0.045763526,0.045886031,0.045844411,0.045247636,0.045822818,0.045732165
70,0.008413836,0.000512963,-0.000177317,0.042639071,0.04225816,0.042184614,0.041800691,0.042255046,0.042184242
80,0.007195379,0.000283049,-0.000320937,0.040956727,0.040703489,0.040644326,0.040319722,0.040702505,0.040643059
90,0.003226086,-0.002943027,-0.00347614,0.038078451,0.038374297,0.038369222,0.037941544,0.038261276,0.038211434
100,0.005305803,-0.000224412,-0.000708026,0.034992984,0.034851156,0.034816776,0.0345884,0.034850433,0.034809577
