eta2r,eta2not,epsilon2r,epsilon2not,omega2r,omega2not,eta2p,N
0.10262267,0.104661318,0.073035951,0.075113431,0.071430481,0.073478704,0.012345679,10
0.054073386,0.054391531,0.040340954,0.039997816,0.039878708,0.039535338,0.012345679,20
0.036479206,0.036821047,0.028392787,0.028201954,0.028173407,0.027981211,0.012345679,30
0.027064572,0.027452646,0.021488304,0.021507997,0.021366115,0.021383908,0.012345679,40
0.024064706,0.025234108,0.019608444,0.020313527,0.019516655,0.020215624,0.012345679,50
0.019923859,0.020736162,0.01730908,0.01741876,0.017245697,0.017351616,0.012345679,60
0.018768587,0.019994772,0.015886306,0.016712543,0.015832867,0.016653957,0.012345679,70
0.015734273,0.016611389,0.013659244,0.014088769,0.013621416,0.014047231,0.012345679,80
0.014468277,0.015360836,0.012858568,0.013317151,0.012827549,0.013282614,0.012345679,90
0.013840322,0.014706977,0.012016606,0.012547841,0.011988699,0.012516705,0.012345679,100
0.102785642,0.106169686,0.078944212,0.081188865,0.077260858,0.079477714,0.027355623,10
0.055081587,0.05848466,0.044688446,0.046673339,0.044204179,0.046153692,0.027355623,20
0.040279936,0.042549852,0.03470467,0.035696439,0.03445702,0.035426482,0.027355623,30
0.030592078,0.032507983,0.027464432,0.028341595,0.027326063,0.02818684,0.027355623,40
0.027750137,0.029392629,0.025078838,0.025685812,0.024972918,0.025566392,0.027355623,50
0.023778935,0.025378497,0.021576375,0.022300082,0.021500869,0.022212183,0.027355623,60
0.021821255,0.023058591,0.020716847,0.02101841,0.02065973,0.020951102,0.027355623,70
0.019432606,0.020536531,0.018479125,0.018666179,0.018435243,0.018612833,0.027355623,80
0.018226841,0.019444599,0.017657314,0.018035012,0.017621953,0.017990455,0.027355623,90
0.018095938,0.01948493,0.017242093,0.017762426,0.01720685,0.017717299,0.027355623,100
0.104080522,0.107365268,0.086118132,0.087956627,0.084411516,0.086201182,0.047619048,10
0.06067235,0.063897653,0.052961094,0.054442362,0.052424885,0.053856164,0.047619048,20
0.043947966,0.046309714,0.040116083,0.04081277,0.039857698,0.040520178,0.047619048,30
0.036544781,0.038420253,0.034710298,0.034993952,0.034552612,0.034808467,0.047619048,40
0.031739572,0.033461796,0.032063359,0.032305542,0.031969457,0.03218806,0.047619048,50
0.028420501,0.030490545,0.027414643,0.027983492,0.027332551,0.027874198,0.047619048,60
0.025582145,0.027309376,0.025466286,0.025862887,0.025411409,0.025785381,0.047619048,70
0.022639803,0.023614423,0.022686232,0.022249883,0.022648198,0.022191109,0.047619048,80
0.022508237,0.024292278,0.022491425,0.023007742,0.022454764,0.022949095,0.047619048,90
0.020782266,0.022117088,0.021023582,0.021256271,0.020997297,0.021211942,0.047619048,100
0.112496885,0.114901207,0.097822503,0.098104205,0.095975061,0.096197464,0.072463768,10
0.066404624,0.069649549,0.061177433,0.062076761,0.060619764,0.06144903,0.072463768,20
0.050713403,0.055042264,0.048281811,0.050148754,0.047997759,0.049786957,0.072463768,30
0.04206959,0.045128822,0.040327887,0.041285611,0.040148503,0.041047392,0.072463768,40
